,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
8275,9291183118,884407808,Above Benchmark,366,884407,White,NO,NO,NO
8276,9291414596,820403806,Below Benchmark,299,820403,White,NO,NO,NO
8277,9294937865,820407837,At Benchmark,322,820407,White,YES,NO,NO
8278,9294962119,896407808,Well Below Benchmark,250,896407,White,YES,NO,NO
8279,9268747953,775108009,At Benchmark,324,775108,White,YES,NO,NO
8280,9268959246,7408806,Well Below Benchmark,243,7408,White,YES,NO,NO
8281,9268668147,62477888,Below Benchmark,282,62477,White,NO,NO,NO
8282,9268658385,825407809,At Benchmark,329,825407,White,NO,NO,NO
8283,9267272142,770486801,Well Below Benchmark,252,770486,White,NO,NO,NO
8284,9267154824,844408806,Below Benchmark,284,844408,White,NO,NO,NO
8285,9263746679,820403806,Above Benchmark,388,820403,White,NO,NO,NO
8286,9263931572,778108006,Well Below Benchmark,247,778108,White,NO,NO,NO
8287,9263928174,818402808,Well Below Benchmark,243,818402,White,NO,NO,NO
8288,9263181636,872406808,Well Below Benchmark,249,872406,White,NO,NO,NO
8289,9263454562,844408886,Above Benchmark,392,844408,White,NO,NO,NO
8290,9269622826,844408889,Above Benchmark,358,844408,White,NO,NO,NO
8291,9269192276,895405807,Well Below Benchmark,279,895405,White,NO,NO,NO
8292,9269119396,844407809,Below Benchmark,283,844407,White,YES,NO,NO
8293,9269115124,,At Benchmark,308,792408,White,NO,NO,NO
8294,9266841713,820405802,Well Below Benchmark,259,820405,White,NO,NO,NO
8295,9266393884,819402808,Above Benchmark,342,819402,White,NO,NO,NO
8296,9266359345,35407307,Well Below Benchmark,249,35407,White,NO,NO,NO
8297,9266314171,93408889,Above Benchmark,420,93408,White,NO,NO,NO
8298,9266199366,60480802,Below Benchmark,297,60480,White,YES,NO,NO
8299,9265948539,844408889,Above Benchmark,378,844408,White,NO,NO,NO
8300,9262218354,818402808,Well Below Benchmark,276,818402,White,YES,NO,NO
8301,9262165827,820407872,Well Below Benchmark,261,820407,White,YES,NO,NO
8302,9262117731,848408883,Above Benchmark,341,848408,White,YES,NO,NO
8303,9262431475,806405802,Above Benchmark,414,806405,White,NO,NO,NO
8304,9262425447,861408808,Below Benchmark,290,861408,White,YES,NO,NO
8305,9261879477,844408885,At Benchmark,312,844408,White,NO,NO,NO
8306,9261992389,778108095,Well Below Benchmark,267,778108,White,NO,NO,NO
8307,9261685539,778409807,Above Benchmark,339,778409,White,YES,NO,NO
8308,9261264784,896407808,Above Benchmark,336,896407,White,NO,NO,NO
8309,9261136132,820407833,Well Below Benchmark,253,820407,White,NO,NO,NO
8310,9261445512,,Above Benchmark,335,76407,White,NO,NO,NO
8311,9264813374,870408809,Below Benchmark,283,870408,White,NO,NO,NO
8312,9264532984,818406807,Above Benchmark,334,818406,White,YES,NO,NO
8313,9264275227,778409807,At Benchmark,325,778409,White,YES,NO,YES
8314,9258741674,778108053,Above Benchmark,342,778108,White,YES,NO,NO
8315,9258348842,819407802,At Benchmark,314,819407,White,NO,NO,NO
8316,9258579954,844408808,Well Below Benchmark,276,844408,White,YES,NO,NO
8317,9257897483,62477802,Above Benchmark,464,62477,White,NO,NO,NO
8318,9257349877,856107808,Well Below Benchmark,262,856107,White,NO,NO,NO
8319,9257563356,820405803,Well Below Benchmark,249,820405,White,YES,NO,YES
8320,9257287182,820407882,Above Benchmark,346,820407,White,YES,NO,NO
8321,9253677534,778108066,Well Below Benchmark,256,778108,White,YES,NO,NO
8322,9253217341,867403808,At Benchmark,308,867403,White,YES,NO,NO
8323,9253192351,787406884,Well Below Benchmark,263,787406,White,NO,NO,NO
8324,9253475835,819407804,At Benchmark,317,819407,White,NO,NO,NO
8325,9259614473,48401807,Above Benchmark,347,48401,White,NO,NO,NO
8326,9259596964,62484808,Well Below Benchmark,252,62484,White,NO,NO,YES
8327,9259561146,,Well Below Benchmark,270,71407,White,YES,NO,NO
8328,9259248519,844408807,Above Benchmark,419,844408,White,NO,NO,NO
8329,9259158378,29482808,Above Benchmark,405,29482,White,NO,NO,NO
8330,9256738498,844408883,At Benchmark,315,844408,White,NO,NO,NO
8331,9256769958,818406807,At Benchmark,307,818406,White,NO,NO,NO
8332,9256693941,20401801,Below Benchmark,292,20401,White,NO,NO,NO
8333,9256453548,800406807,Above Benchmark,378,800406,White,NO,NO,YES
8334,9255358796,819402803,Above Benchmark,337,819402,White,NO,NO,NO
8335,9252964898,,Well Below Benchmark,265,57408,White,NO,NO,NO
8336,9251812188,808407855,Well Below Benchmark,263,808407,White,YES,NO,NO
8337,9251278936,,At Benchmark,312,852409,White,YES,NO,NO
8338,9251163421,800402807,Above Benchmark,345,800402,White,NO,NO,NO
8339,9251124668,82040580,Well Below Benchmark,257,820405,White,YES,NO,NO
8340,9251432323,800402807,Well Below Benchmark,256,800402,White,NO,NO,YES
8341,9254886162,820407873,Well Below Benchmark,261,820407,White,NO,NO,NO
8342,9254729823,86136009,Well Below Benchmark,279,86136,White,NO,NO,NO
8343,9254257622,62488803,At Benchmark,313,62488,White,NO,NO,NO
8344,9254129944,89109005,Well Below Benchmark,269,89109,White,NO,NO,NO
8345,9254436519,820407878,Well Below Benchmark,274,820407,White,NO,NO,NO
8346,9228876237,93408807,Well Below Benchmark,251,93408,White,YES,NO,NO
8347,9228936187,844408805,Below Benchmark,299,844408,White,NO,NO,NO
8348,9228212861,899407808,Well Below Benchmark,245,899407,White,NO,NO,NO
8349,9228118983,778487805,At Benchmark,320,778487,White,NO,NO,NO
8350,9228425593,834487808,Below Benchmark,285,834487,White,YES,NO,NO
8351,9227834794,820407881,Well Below Benchmark,265,820407,White,NO,NO,NO
8352,9227896473,778108075,Above Benchmark,372,778108,White,YES,NO,YES
8353,9227721626,20401809,Well Below Benchmark,265,20401,White,NO,NO,NO
8354,9227658169,83408806,Well Below Benchmark,249,83408,White,YES,NO,NO
8355,9227211861,806405888,At Benchmark,306,806405,White,NO,NO,YES
8356,9223836164,15408807,Above Benchmark,336,15408,White,NO,NO,YES
